Qtde Vítimas,Estadual,Federal,Municipal,NÃO INF.
Gravataí,16,9,15,0
Guabiju,0,0,0,0
Guaíba,0,3,7,0
Guaporé,10,0,0,0
Guarani das Missões,0,1,0,0
Harmonia,0,0,1,0
Herval,0,0,0,0
Herveiras,1,0,0,0
Horizontina,2,0,1,0
Hulha Negra,0,0,1,0
Humaitá,0,0,0,0
Ibarama,0,0,0,0
Ibiaçá,1,0,0,0
Ibiraiaras,0,0,0,0
Ibirapuitã,0,0,0,0
Ibirubá,2,0,0,0
Igrejinha,0,0,3,0
Ijuí,6,2,7,0
Ilópolis,2,0,0,0
Imbé,1,0,3,0
Imigrante,0,0,1,0
Independência,0,0,1,0
Inhacorá,0,0,0,0
Ipê,4,0,0,0
Ipiranga do Sul,0,0,1,0
Iraí,0,2,1,0
Itaara,0,0,0,0
Itacurubi,0,0,1,0
Itapuca,1,0,0,0
Itaqui,0,1,1,0
Itati,3,0,0,0
Itatiba do Sul,0,0,0,0
Ivorá,0,0,0,0
Ivoti,1,0,0,0
Jaboticaba,0,0,0,0
Jacuizinho,0,0,0,0
Jacutinga,0,0,0,0
Jaguarão,0,2,0,0
Jaguari,0,1,1,0
Jaquirana,0,0,0,0
Jari,0,0,0,0
Jóia,2,0,1,0
Júlio de Castilhos,0,6,2,0
Lagoa Bonita do Sul,0,0,0,0
Lagoa dos Três Cantos,0,0,0,0
Lagoa Vermelha,0,2,1,0
Lagoão,0,0,2,0
Lajeado,1,4,4,0
Lajeado do Bugre,0,0,1,0
Lavras do Sul,0,0,1,0
Liberato Salzano,0,0,0,0
Lindolfo Collor,0,0,0,0
Linha Nova,0,0,0,0
Maçambará,1,0,0,0
Machadinho,1,0,0,0
Mampituba,0,0,1,0
Manoel Viana,0,0,0,0
Maquiné,2,2,0,0
Maratá,0,0,0,0
Marau,5,0,2,0
Marcelino Ramos,0,1,0,0
Mariana Pimentel,0,0,0,0
Mariano Moro,0,0,0,0
Marques de Souza,0,4,0,0
Mata,0,0,0,0
Mato Castelhano,0,1,1,0
Mato Leitão,1,0,0,0
Mato Queimado,0,0,0,0
Maximiliano de Almeida,0,0,0,0
Minas do Leão,0,2,0,0
Miraguaí,2,0,1,0
Montauri,0,0,0,0
Monte Alegre dos Campos,0,0,0,0
Monte Belo do Sul,0,0,0,0
Montenegro,3,5,5,0
Mormaço,0,0,0,0
Morrinhos do Sul,0,0,0,0
Morro Redondo,1,1,1,0
Morro Reuter,1,0,1,0
Mostardas,4,0,0,0
Muçum,1,0,1,0
Muitos Capões,0,3,1,0
Muliterno,0,0,0,0
Não-Me-Toque,4,0,1,0
Nicolau Vergueiro,0,0,0,0
Nonoai,6,0,2,0
Nova Alvorada,0,0,0,0
Nova Araçá,0,0,0,0
Nova Bassano,2,0,1,0
Nova Boa Vista,0,0,0,0
Nova Bréscia,0,0,1,0
Nova Candelária,0,0,0,0
Nova Esperança do Sul,0,0,1,0
Nova Hartz,2,0,0,0
Nova Pádua,0,0,1,0
Nova Palma,0,0,0,0
Nova Petrópolis,1,1,0,0
Nova Prata,0,4,1,0
Nova Ramada,0,0,0,0
Nova Roma do Sul,0,0,0,0
Nova Santa Rita,0,3,3,0
Novo Barreiro,5,0,0,0
Novo Cabrais,1,0,0,0
Novo Hamburgo,4,4,15,0
Novo Machado,0,0,0,0
Novo Tiradentes,0,0,0,0
Osório,5,3,3,1
Paim Filho,0,0,0,0
Palmares do Sul,1,0,1,0
Palmeira das Missões,0,3,1,0
Palmitinho,0,2,1,0
Panambi,0,10,0,0
Pantano Grande,0,2,1,0
Paraí,0,0,0,0
Paraíso do Sul,2,0,0,0
Pareci Novo,1,0,0,0
Parobé,6,0,3,0
Passa Sete,0,0,0,0
Passo do Sobrado,0,0,0,0
Passo Fundo,11,7,12,0
Paulo Bento,0,0,0,0
Paverama,1,0,0,0
Pedras Altas,0,0,0,0
Pedro Osório,0,2,0,0
Pejuçara,1,0,0,0
Pelotas,0,11,18,1
Picada Café,0,0,0,0
Pinhal,0,0,1,0
Pinhal da Serra,0,0,1,0
Pinhal Grande,0,0,2,0
Pinheirinho do Vale,1,0,0,0
Pinheiro Machado,0,0,2,0
Pinto Bandeira,0,0,0,0
Pirapó,0,0,0,0
Piratini,1,2,0,0
Planalto,2,0,0,0
Poço das Antas,0,0,2,0
Pontão,1,0,0,0
Portão,8,0,1,1
Porto Alegre,0,9,73,0
Porto Lucena,0,0,0,0
Porto Mauá,0,0,0,0
Porto Vera Cruz,0,0,1,0
Porto Xavier,3,1,0,0
Pouso Novo,0,3,0,0
Presidente Lucena,0,0,3,0
Progresso,0,0,0,0
Protásio Alves,0,0,0,0
Putinga,0,0,2,0
Quaraí,1,1,2,0
Quatro Irmãos,0,0,1,0
Quevedos,0,0,0,0
Quinze de Novembro,4,0,1,0
Redentora,2,0,2,0
Relvado,0,0,1,0
Restinga Seca,1,0,1,0
Rio dos Índios,0,0,0,0
Rio Grande,1,9,9,1
Rio Pardo,0,4,0,0
Riozinho,0,0,0,0
Roca Sales,0,0,1,0
Rodeio Bonito,1,0,1,0
Rolador,1,0,0,0
Rolante,1,0,2,0
Ronda Alta,5,0,1,0
Rondinha,2,0,0,0
Roque Gonzales,2,1,0,0
Rosário do Sul,0,7,4,0
Sagrada Família,0,1,0,0
Saldanha Marinho,0,0,0,0
Salto do Jacuí,1,0,1,0
Salvador das Missões,0,0,0,0
Salvador do Sul,0,1,2,0
Sananduva,8,0,1,0
Santa Bárbara do Sul,0,6,0,0
Santa Cecília do Sul,0,0,0,0
Santa Clara do Sul,0,0,0,0
Santa Cruz do Sul,6,10,12,0
Santa Margarida do Sul,0,0,0,0
Santa Maria,9,9,13,0
Santa Maria do Herval,0,0,1,0
Santa Rosa,9,6,4,0
Santa Tereza,1,0,0,0
Santa Vitória do Palmar,0,5,3,0
Santana da Boa Vista,0,5,1,0
Santana do Livramento,0,3,2,0
Santiago,0,1,0,0
Santo Ângelo,5,1,4,0
Santo Antônio da Patrulha,3,4,1,0
Santo Antônio das Missões,0,0,0,0
Santo Antônio do Palma,0,0,0,0
Santo Antônio do Planalto,0,2,0,0
Santo Augusto,0,1,0,0
Santo Cristo,3,1,0,0
Santo Expedito do Sul,0,0,0,0
São Borja,0,5,2,0
São Domingos do Sul,0,0,4,0
São Francisco de Assis,2,0,1,0
São Francisco de Paula,12,0,0,0
São Gabriel,2,5,1,0
São Jerônimo,0,0,2,0
São João da Urtiga,0,0,0,0
São João do Polêsine,1,0,0,0
São Jorge,0,0,0,0
São José das Missões,0,2,0,0
São José do Herval,0,2,0,0
São José do Hortêncio,0,0,0,0
São José do Inhacorá,0,0,1,0
São José do Norte,0,2,1,0
São José do Ouro,0,0,0,0
São José do Sul,0,1,0,0
São José dos Ausentes,0,0,0,0
São Leopoldo,6,4,13,1
São Lourenço do Sul,0,3,0,0
São Luiz Gonzaga,2,3,1,0
São Marcos,0,5,0,0
São Martinho,8,0,0,0
São Martinho da Serra,0,0,0,0
São Miguel das Missões,0,0,0,0
São Nicolau,0,0,0,0
São Paulo das Missões,1,0,0,0
São Pedro da Serra,0,0,0,0
São Pedro das Missões,0,0,0,0
São Pedro do Butiá,0,0,0,0
São Pedro do Sul,0,3,2,0
São Sebastião do Caí,3,0,0,1
São Sepé,0,5,0,0
São Valentim,0,0,0,0
São Valentim do Sul,1,0,0,0
São Vendelino,0,0,0,0
São Vicente do Sul,1,0,0,0
Sapiranga,8,0,5,0
Sapucaia do Sul,12,2,7,0
Sarandi,3,5,2,0
Seberi,0,3,0,0
Sede Nova,0,0,0,0
Segredo,0,0,0,0
Selbach,3,0,0,0
Senador Salgado Filho,0,0,0,0
Sentinela do Sul,0,0,0,0
Serafina Corrêa,3,0,2,0
Sério,0,0,0,0
Sertão,2,0,0,0
Sertão Santana,0,0,1,0
Sete de Setembro,0,0,0,0
Severiano de Almeida,0,1,0,0
Silveira Martins,0,0,0,0
Sinimbu,1,0,0,0
Sobradinho,1,0,0,0
Soledade,1,3,4,0
Tabaí,1,4,0,0
Tapejara,4,0,2,0
Tapera,3,0,1,0
Tapes,0,0,0,0
Taquara,10,0,0,0
Taquari,3,1,0,0
Taquaruçu do Sul,0,0,0,0
Tavares,0,0,0,0
Tenente Portela,2,0,0,0
Terra de Areia,0,3,0,0
Teutônia,1,0,1,0
Tio Hugo,1,6,1,0
Tiradentes do Sul,0,2,1,0
Toropi,0,0,0,0
Torres,1,7,2,0
Tramandaí,0,0,3,0
Travesseiro,0,0,0,0
Três Arroios,0,2,0,0
Três Cachoeiras,0,1,0,0
Três Coroas,1,0,0,0
Três de Maio,5,4,1,0
Três Forquilhas,0,0,0,0
Três Palmeiras,4,0,0,0
Três Passos,0,3,4,0
Trindade do Sul,2,0,0,0
Triunfo,0,7,3,0
Tucunduva,3,0,0,0
Tunas,0,0,0,0
Tupanci do Sul,0,0,0,0
Tupanciretã,1,0,4,0
Tupandi,0,0,0,0
Tuparendi,2,0,0,0
Turuçu,0,3,1,0
Ubiretama,0,0,0,0
Unistalda,0,0,0,0
Uruguaiana,0,10,7,0
Vacaria,0,12,0,0
Vale do Sol,0,2,0,0
Vale Real,2,0,0,0
Vale Verde,0,0,0,0
Vanini,0,0,0,0
Venâncio Aires,8,1,7,0
Vera Cruz,5,0,3,0
Veranópolis,1,2,2,0
Vespasiano Correa,2,0,1,0
Viadutos,1,0,0,0
Viamão,14,0,6,1
Vicente Dutra,1,0,1,0
Victor Graeff,0,0,0,0
Vila Flores,0,2,0,0
Vila Lângaro,0,0,0,0
Vila Maria,5,0,0,0
Vila Nova do Sul,0,3,0,0
Vista Alegre,1,0,1,0
Vista Alegre do Prata,0,0,0,0
Vista Gaúcha,0,0,0,0
Vitória das Missões,0,1,1,0
Westfália,0,0,0,0
Xangri-lá,2,0,2,0
Total,558,471,587,8
